date,country,keyword,interest
2021-05-24 00:00:00,US,Bitcoin,55
2021-05-25 00:00:00,US,Bitcoin,43
2021-05-26 00:00:00,US,Bitcoin,34
2021-05-27 00:00:00,US,Bitcoin,30
2021-05-28 00:00:00,US,Bitcoin,33
2021-05-29 00:00:00,US,Bitcoin,31
2021-05-30 00:00:00,US,Bitcoin,30
2021-05-31 00:00:00,US,Bitcoin,29
2021-06-01 00:00:00,US,Bitcoin,62
2021-06-02 00:00:00,US,Bitcoin,59
2021-06-03 00:00:00,US,Bitcoin,53
2021-06-04 00:00:00,US,Bitcoin,68
2021-06-05 00:00:00,US,Bitcoin,62
2021-06-06 00:00:00,US,Bitcoin,61
2021-06-07 00:00:00,US,Bitcoin,66
2021-06-08 00:00:00,US,Bitcoin,97
2021-06-09 00:00:00,US,Bitcoin,82
2021-06-10 00:00:00,US,Bitcoin,74
2021-06-11 00:00:00,US,Bitcoin,62
2021-06-12 00:00:00,US,Bitcoin,52
2021-06-13 00:00:00,US,Bitcoin,52
2021-06-14 00:00:00,US,Bitcoin,76
2021-06-15 00:00:00,US,Bitcoin,57
2021-06-16 00:00:00,US,Bitcoin,52
2021-06-17 00:00:00,US,Bitcoin,50
2021-06-18 00:00:00,US,Bitcoin,50
2021-06-19 00:00:00,US,Bitcoin,44
2021-06-20 00:00:00,US,Bitcoin,44
2021-06-21 00:00:00,US,Bitcoin,76
2021-06-22 00:00:00,US,Bitcoin,100
2021-06-23 00:00:00,US,Bitcoin,70
2021-06-24 00:00:00,US,Bitcoin,55
2021-06-25 00:00:00,US,Bitcoin,57
2021-06-26 00:00:00,US,Bitcoin,51
2021-06-27 00:00:00,US,Bitcoin,49
2021-06-28 00:00:00,US,Bitcoin,53
2021-06-29 00:00:00,US,Bitcoin,50
2021-06-30 00:00:00,US,Bitcoin,44
2021-07-01 00:00:00,US,Bitcoin,54
2021-07-02 00:00:00,US,Bitcoin,53
2021-07-03 00:00:00,US,Bitcoin,49
2021-07-04 00:00:00,US,Bitcoin,53
2021-07-05 00:00:00,US,Bitcoin,54
2021-07-06 00:00:00,US,Bitcoin,52
2021-07-07 00:00:00,US,Bitcoin,44
2021-07-08 00:00:00,US,Bitcoin,54
2021-07-09 00:00:00,US,Bitcoin,51
2021-07-10 00:00:00,US,Bitcoin,41
2021-07-11 00:00:00,US,Bitcoin,43
2021-07-12 00:00:00,US,Bitcoin,49
2021-07-13 00:00:00,US,Bitcoin,50
2021-07-14 00:00:00,US,Bitcoin,52
